team_name,week,player_name,player_position,player_team,lineup_position,player_status,player_injury,player_key,date,injury_value
Zeke Virus,16,DeAndre Hopkins,WR,Ari,BN,Injured Reserve,Knee,406.p.26650,2022-01-02,5.0
Zeke Virus,17,DeAndre Hopkins,WR,Ari,BN,Injured Reserve,Knee,406.p.26650,2022-01-03,5.0
Zeke Virus,1,Robert Woods,WR,LAR,W/R/T,Injured Reserve,Knee,406.p.26664,2022-01-01,5.0
Zeke Virus,2,Robert Woods,WR,LAR,W/R/T,Injured Reserve,Knee,406.p.26664,2022-01-01,5.0
Zeke Virus,3,Robert Woods,WR,LAR,W/R/T,Injured Reserve,Knee,406.p.26664,2022-01-01,5.0
Zeke Virus,4,Robert Woods,WR,LAR,W/R/T,Injured Reserve,Knee,406.p.26664,2022-01-01,5.0
Zeke Virus,5,Robert Woods,WR,LAR,W/R/T,Injured Reserve,Knee,406.p.26664,2022-01-01,5.0
Zeke Virus,6,Robert Woods,WR,LAR,BN,Injured Reserve,Knee,406.p.26664,2022-01-01,5.0
Zeke Virus,7,Robert Woods,WR,LAR,BN,Injured Reserve,Knee,406.p.26664,2022-01-01,5.0
Zeke Virus,8,Robert Woods,WR,LAR,WR,Injured Reserve,Knee,406.p.26664,2022-01-02,5.0
Zeke Virus,9,Robert Woods,WR,LAR,WR,Injured Reserve,Knee,406.p.26664,2022-01-02,5.0
FreshPrinceOfHelaire,1,Adam Thielen,WR,Min,WR,Injured Reserve,Ankle,406.p.27277,2022-01-01,5.0
FreshPrinceOfHelaire,2,Adam Thielen,WR,Min,WR,Injured Reserve,Ankle,406.p.27277,2022-01-01,5.0
FreshPrinceOfHelaire,3,Adam Thielen,WR,Min,WR,Injured Reserve,Ankle,406.p.27277,2022-01-01,5.0
FreshPrinceOfHelaire,4,Adam Thielen,WR,Min,WR,Injured Reserve,Ankle,406.p.27277,2022-01-01,5.0
FreshPrinceOfHelaire,5,Adam Thielen,WR,Min,WR,Injured Reserve,Ankle,406.p.27277,2022-01-01,5.0
FreshPrinceOfHelaire,6,Adam Thielen,WR,Min,WR,Injured Reserve,Ankle,406.p.27277,2022-01-01,5.0
FreshPrinceOfHelaire,7,Adam Thielen,WR,Min,BN,Injured Reserve,Ankle,406.p.27277,2022-01-01,5.0
FreshPrinceOfHelaire,8,Adam Thielen,WR,Min,W/R/T,Injured Reserve,Ankle,406.p.27277,2022-01-02,5.0
FreshPrinceOfHelaire,9,Adam Thielen,WR,Min,W/R/T,Injured Reserve,Ankle,406.p.27277,2022-01-02,5.0
FreshPrinceOfHelaire,10,Adam Thielen,WR,Min,WR,Injured Reserve,Ankle,406.p.27277,2022-01-02,5.0
FreshPrinceOfHelaire,11,Adam Thielen,WR,Min,WR,Injured Reserve,Ankle,406.p.27277,2022-01-02,5.0
FreshPrinceOfHelaire,12,Adam Thielen,WR,Min,WR,Injured Reserve,Ankle,406.p.27277,2022-01-02,5.0
